id,routine_id,bounce_index,skill_name,start_frame,end_frame,start_time,end_time,apex_time,apex_frame,start_height,end_height,apex_height
247,20,9,To Feet (from seat),343,385,11.43,12.83,12.23,367,204,209,266
248,20,10,Tuck Jump,385,424,12.83,14.13,13.47,404,209,217,291
249,20,11,Half Twist Jump,424,463,14.13,15.43,14.7,441,217,208,280
250,20,12,Pike Jump,463,503,15.43,16.77,16.03,481,208,216,293
251,20,13,Back Drop,503,550,16.77,18.33,17.43,523,216,203,292
252,20,14,To Feet (from back),550,583,18.33,19.43,18.83,565,203,221,275
253,20,15,In/Out Bounce,583,620,19.43,20.67,20.0,600,221,209,268
254,21,0,In/Out Bounce,66,103,2.2,3.43,2.77,83,222,244,274
255,21,1,In/Out Bounce,103,136,3.43,4.53,3.93,118,244,230,278
256,21,2,In/Out Bounce,136,172,4.53,5.73,5.1,153,230,212,277
257,21,3,Full Twist Jump,172,207,5.73,6.9,6.27,188,212,211,293
258,21,4,Straddle Jump,207,244,6.9,8.13,7.53,226,211,210,288
259,21,5,Half Twist to Seat Drop,244,289,8.13,9.63,8.67,260,210,204,303
260,21,6,Swivel Hips/Seat Half Twist to Seat Drop,289,320,9.63,10.67,10.1,303,204,206,283
261,21,7,To Feet (from seat),320,361,10.67,12.03,11.5,345,206,215,258
262,21,8,Tuck Jump,361,397,12.03,13.23,12.57,377,215,212,283
263,21,9,Half Twist Jump,397,431,13.23,14.37,13.8,414,212,214,300
264,21,10,Pike Jump,431,469,14.37,15.63,14.93,448,214,214,296
265,21,11,Back Drop,469,505,15.63,16.83,16.3,489,214,206,300
266,21,12,To Feet (from back),505,569,16.83,18.97,17.67,530,206,226,263
267,22,0,In/Out Bounce,96,129,3.2,4.3,2.63,79,213,214,251
268,22,1,In/Out Bounce,129,164,4.3,5.47,3.77,113,214,209,254
269,22,2,Full Twist Jump,164,202,5.47,6.73,4.87,146,209,209,256
270,22,3,Straddle Jump,202,243,6.73,8.1,6.1,183,209,210,286
271,22,4,Half Twist to Seat Drop,243,293,8.1,9.77,7.43,223,210,206,293
272,22,5,Swivel Hips/Seat Half Twist to Seat Drop,293,324,9.77,10.8,8.77,263,206,209,284
273,22,6,To Feet (from seat),324,370,10.8,12.33,10.33,310,209,211,270
274,22,7,Tuck Jump,370,408,12.33,13.6,11.7,351,211,211,255
275,22,8,Half Twist Jump,408,447,13.6,14.9,12.93,388,211,210,282
276,22,9,Pike Jump,447,485,14.9,16.17,14.23,427,210,213,276
277,22,10,Back Drop,485,534,16.17,17.8,15.53,466,213,204,286
278,23,0,In/Out Bounce,18,53,0.6,1.77,1.17,35,222,222,301
279,23,1,In/Out Bounce,53,90,1.77,3.0,2.4,72,222,222,312
280,23,2,In/Out Bounce,90,126,3.0,4.2,3.73,112,222,222,356
281,23,3,In/Out Bounce,126,162,4.2,5.4,4.93,148,222,222,334
282,23,4,In/Out Bounce,162,200,5.4,6.67,5.83,175,222,233,355
283,23,5,Lazy Back,200,246,6.67,8.2,7.37,221,233,209,335
284,23,6,To Feet (from front),246,278,8.2,9.27,8.73,262,209,230,299
285,23,7,Straddle Jump,278,316,9.27,10.53,9.87,296,230,231,328
286,23,8,Back S/S,316,356,10.53,11.87,11.27,338,231,230,334
287,23,9,Barani,356,390,11.87,13.0,12.47,374,230,225,312
288,23,10,Tuck Jump,390,430,13.0,14.33,13.63,409,225,235,334
289,23,11,Barani,430,465,14.33,15.5,15.0,450,235,224,320
290,23,12,Half Twist Jump,465,508,15.5,16.93,16.27,488,224,220,344
291,23,13,Pike Jump,508,550,16.93,18.33,17.6,528,220,237,345
292,23,14,Front S/S,550,586,18.33,19.53,19.0,570,237,236,326
293,23,15,In/Out Bounce,586,627,19.53,20.9,20.2,606,236,219,324
294,24,0,Swivel Hips/Seat Half Twist to Seat Drop,48,93,1.6,3.1,0.63,19,205,208,317
295,24,1,Half Twist to Feet (from seat),93,128,3.1,4.27,2.23,67,208,231,314
296,24,2,Pike Jump,128,170,4.27,5.67,3.6,108,231,223,310
297,24,3,Full Twist Jump,170,211,5.67,7.03,4.93,148,223,238,333
298,24,4,Tuck Jump,211,249,7.03,8.3,6.33,190,238,228,347
299,24,5,Front S/S,249,289,8.3,9.63,7.6,228,228,220,335
300,24,6,In/Out Bounce,289,326,9.63,10.87,9.0,270,220,216,339
301,25,0,In/Out Bounce,121,158,4.03,5.27,0.77,23,217,226,284
302,25,1,In/Out Bounce,158,202,5.27,6.73,4.63,139,226,234,276
303,25,2,Front Drop,202,234,6.73,7.8,6.23,187,234,205,320
304,25,3,To Feet (from front),234,280,7.8,9.33,7.27,218,205,227,288
305,25,4,Straddle Jump,280,323,9.33,10.77,8.33,250,227,225,312
306,25,5,Half Twist to Seat Drop,323,374,10.77,12.47,10.0,300,225,209,298
307,25,6,Swivel Hips/Seat Half Twist to Seat Drop,374,417,12.47,13.9,11.43,343,209,210,287
308,25,7,Broken,417,481,13.9,16.03,12.83,385,210,228,258
309,25,8,Full Twist Jump,481,522,16.03,17.4,15.47,464,228,216,275
310,25,9,Tuck Jump,522,562,17.4,18.73,16.77,503,216,225,281
311,25,10,Front S/S,562,602,18.73,20.07,18.03,541,225,228,300
312,26,0,In/Out Bounce,39,74,1.3,2.47,0.43,13,230,229,277
313,26,1,In/Out Bounce,74,107,2.47,3.57,1.83,55,229,231,274
314,26,2,In/Out Bounce,107,141,3.57,4.7,2.97,89,231,229,285
315,26,3,In/Out Bounce,141,176,4.7,5.87,4.1,123,229,228,287
316,26,4,In/Out Bounce,176,211,5.87,7.03,5.27,158,228,228,289
317,26,5,In/Out Bounce,211,246,7.03,8.2,6.43,193,228,229,292
318,26,6,In/Out Bounce,246,281,8.2,9.37,7.6,228,229,240,293
319,26,7,Front Drop,281,327,9.37,10.9,8.83,265,240,208,302
320,26,8,To Feet (from front),327,359,10.9,11.97,9.9,297,208,232,298
321,26,9,Straddle Jump,359,401,11.97,13.37,11.37,341,232,238,293
322,26,10,Half Twist to Seat Drop,401,442,13.37,14.73,12.67,380,238,211,353
323,26,11,Swivel Hips/Seat Half Twist to Seat Drop,442,499,14.73,16.63,14.1,423,211,216,347
324,26,12,Half Twist to Feet (from seat),499,535,16.63,17.83,15.7,471,216,235,338
325,26,13,Pike Jump,535,576,17.83,19.2,17.13,514,235,223,322
326,26,14,Full Twist Jump,576,617,19.2,20.57,18.5,555,223,239,335
327,26,15,Tuck Jump,617,658,20.57,21.93,19.9,597,239,226,349
328,26,16,Front S/S,658,697,21.93,23.23,21.2,636,226,224,338
329,26,17,In/Out Bounce,697,738,23.23,24.6,22.53,676,224,213,333
330,27,0,In/Out Bounce,137,190,4.57,6.33,6.2,186,224,307,448
331,27,1,Back S/S,190,251,6.33,8.37,7.93,238,307,223,450
332,27,2,Straddle Jump,251,290,8.37,9.67,9.1,273,223,214,307
333,27,3,Seat Drop,290,330,9.67,11.0,10.37,311,214,209,299
334,27,4,Swivel Hips/Seat Half Twist to Seat Drop,330,373,11.0,12.43,11.93,358,209,208,284
335,27,5,Half Twist to Feet (from seat),373,416,12.43,13.87,13.27,398,208,218,265
336,27,6,Pike Jump,416,454,13.87,15.13,14.47,434,218,220,284
337,27,7,Back Drop,454,501,15.13,16.7,15.93,478,220,210,275
338,27,8,Half Twist to Feet (from back),501,530,16.7,17.67,17.27,518,210,217,252
339,27,9,Tuck Jump,530,567,17.67,18.9,18.3,549,217,219,274
340,27,10,Full Twist Jump,567,604,18.9,20.13,19.6,588,219,216,279
341,27,11,In/Out Bounce,604,705,20.13,23.5,20.57,617,216,219,248
342,28,0,Back S/S,32,70,1.07,2.33,0.63,19,252,222,278
343,28,1,In/Out Bounce,70,191,2.33,6.37,1.77,53,222,227,296
344,28,2,Straddle Jump,191,223,6.37,7.43,6.0,180,227,227,255
345,28,3,Seat Drop,223,265,7.43,8.83,6.9,207,227,218,281
346,28,4,Swivel Hips/Seat Half Twist to Seat Drop,265,303,8.83,10.1,8.0,240,218,218,282
347,28,5,Half Twist to Feet (from seat),303,328,10.1,10.93,9.27,278,218,226,275
348,28,6,Pike Jump,328,363,10.93,12.1,10.53,316,226,235,272
349,28,7,Back Drop,363,403,12.1,13.43,11.53,346,235,216,296
