id,judgement_id,contributor_id,bounce_id,deduction_value,deduction_json
915,97,2,,0.2,
916,97,2,,0.1,
917,97,2,,0.2,
918,97,2,,0.1,
919,97,2,,0.2,
920,97,2,,0.2,
921,97,2,,0.3,
922,98,3,,0.2,
923,98,3,,0.1,
924,98,3,,0.3,
925,98,3,,0.1,
926,98,3,,0.1,
927,98,3,,0.3,
928,98,3,,0.1,
929,98,3,,0.2,
930,98,3,,0.3,
931,98,3,,0.3,
932,99,2,623,0.4,
933,99,2,624,0.3,
934,99,2,625,0.3,
935,99,2,626,0.3,
936,99,2,627,0.2,
937,99,2,628,0.2,
938,99,2,629,0.2,
939,99,2,630,0.3,
940,99,2,631,0.3,
941,99,2,632,0.3,
942,100,3,623,0.3,
943,100,3,624,0.3,
944,100,3,625,0.4,
945,100,3,626,0.4,
946,100,3,627,0.4,
947,100,3,628,0.3,
948,100,3,629,0.1,
949,100,3,630,0.1,
950,100,3,631,0.2,
951,100,3,632,0.3,
952,101,2,,0.2,
953,101,2,,0.3,
954,101,2,,0.3,
955,101,2,,0.2,
956,101,2,,0.1,
957,101,2,,0.2,
958,101,2,,0.3,
959,101,2,,0.3,
960,101,2,,0.2,
961,101,2,,0.2,
962,102,3,,0.2,
963,102,3,,0.2,
964,102,3,,0.3,
965,102,3,,0.1,
966,102,3,,0.2,
967,102,3,,0.2,
968,102,3,,0.1,
969,102,3,,0.2,
970,102,3,,0.2,
971,102,3,,0.2,
972,103,2,653,0.3,
973,103,2,654,0.3,
974,103,2,655,0.3,
975,103,2,656,0.3,
976,103,2,657,0.2,
977,103,2,658,0.2,
978,103,2,659,0.3,
979,103,2,660,0.5,
980,104,3,653,0.5,
981,104,3,654,0.5,
982,104,3,655,0.4,
983,104,3,656,0.5,
984,104,3,657,0.3,
985,104,3,658,0.3,
986,104,3,659,0.4,
987,104,3,660,0.5,
988,105,2,666,0.1,
989,105,2,667,0.1,
990,105,2,668,0.3,
991,105,2,669,0.0,
992,105,2,670,0.1,
993,105,2,671,0.1,
994,105,2,672,0.1,
995,106,3,666,0.1,
996,106,3,667,0.1,
997,106,3,668,0.3,
998,106,3,669,0.0,
999,106,3,670,0.0,
1000,106,3,671,0.2,
1001,106,3,672,0.1,
1036,112,5,5,0.1,"{""arms-windmill"": ""0.1""}"
1037,112,5,6,0.2,"{""body"": ""0.2""}"
1038,112,5,7,0.0,"{""legs_horz"": ""0.0""}"
1039,112,5,8,0.1,"{""body"": ""0.1""}"
1040,112,5,9,0.1,"{""arms-elbows"": ""0.1""}"
1041,112,5,10,0.1,"{""arms-elbows"": ""0.1""}"
1042,112,5,11,0.1,"{""arms-windmill"": ""0.1""}"
1043,112,5,12,0.1,"{""line_out"": ""0.1""}"
1044,112,5,13,0.1,"{""body"": ""0.1""}"
1045,112,5,14,0.3,"{""body"": ""0.2"", ""arms-windmill"": ""0.1""}"
1046,112,5,15,0.2,"{""legs_toes"": ""0.1"", ""arms-windmill"": ""0.1""}"
1047,112,5,16,0.3,"{""body"": ""0.2"", ""arms-windmill"": ""0.1""}"
1048,112,5,768,0.2,"{""ob_upright"": ""0.1"", ""ob_steps"": ""0.2"", ""ob_feet"": ""0.1"", ""ob_arm_movement"": ""0.1""}"
1049,113,6,1512,0.0,{}
1050,113,6,1513,0.5,"{""body"": ""0.2"", ""arms-windmill"": ""0.1"", ""opening_timing_feet_front"": ""0.2"", ""after_opening_feet_front_shape"": ""pike"", ""after_opening_feet_front_pike"": ""0.1""}"
1051,113,6,1514,0.2,"{""body"": ""0.2"", ""after_opening_feet_front_pike"": ""0.0"", ""after_opening_feet_front_shape"": ""pike""}"
1052,113,6,1515,0.1,"{""arms-windmill"": ""0.1""}"
1053,113,6,1516,0.0,"{""after_opening_feet_front_shape"": ""pike""}"
1054,113,6,1517,0.2,"{""body"": ""0.2"", ""after_opening_feet_front_shape"": ""pike""}"
1055,113,6,1518,0.0,{}
1056,113,6,1519,0.1,"{""line_out"": ""0.1""}"
1057,113,6,1520,0.0,"{""after_opening_back_shape"": ""pike""}"
1058,113,6,1521,0.0,{}
1059,113,6,1522,0.1,"{""ob_uctrl_movements"": ""0.1""}"
1060,113,6,1523,0.2,"{""ob_upright"": ""0.1"", ""ob_feet"": ""0.1"", ""ob_steps"": ""0.2""}"
1061,114,7,5,0.0,{}
1062,114,7,6,0.0,{}
1063,114,7,7,0.0,{}
1064,114,7,8,0.0,{}
1065,114,7,9,0.0,{}
1066,114,7,10,0.0,{}
1067,114,7,11,0.0,{}
1068,114,7,12,0.0,{}
1069,114,7,13,0.0,{}
1070,114,7,14,0.0,{}
1071,114,7,15,0.0,{}
